Title,Price,In Stock,Category,URL,Image URL
deepcool rf120b blue led case fan,139,True,Cooler,https://www.evetech.co.za/deepcool-rf120b-blue-led-case-fan/best-deal/14198.aspx,https://www.evetech.co.za/repository/components/deepcool-rf120b-blue-led-case-fan-600px-v1300px.png
deepcool rf120r red led case fan,179,True,Cooler,https://www.evetech.co.za/deepcool-rf120r-red-led-case-fan/best-deal/14199.aspx,https://www.evetech.co.za/repository/components/deepcool-rf120r-red-led-case-fan-600px-v1300px.png
deepcool rf120w white led case fan,199,True,Cooler,https://www.evetech.co.za/deepcool-rf120w-white-led-case-fan/best-deal/14200.aspx,https://www.evetech.co.za/repository/components/deepcool-rf120w-white-led-case-fa-600px-v1300px.png
deepcool rgb 200 pro rgb led strip,249,True,Cooler,https://www.evetech.co.za/deepcool-rgb-200-pro-rgb-led-strip/best-deal/14204.aspx,https://www.evetech.co.za/repository/components/deepcool-rgb-200-pro-rgb-led-strip-600px-v1 (2)300px.png
deepcool sc700 a rgb fan hub,299,True,Cooler,https://www.evetech.co.za/deepcool-sc700-a-rgb-fan-hub/best-deal/15738.aspx,https://www.evetech.co.za/repository/components/deepcool-sc700-a-rgb-fan-hub-600px-v1300px.png
cooler master masterfan mf120 halo case fan white,299,True,Cooler,https://www.evetech.co.za/cooler-master-masterfan-mf120-halo-case-fan-white/best-deal/19561.aspx,https://www.evetech.co.za/repository/components/cooler-master-masterfan-mf120-halo-case-fan-white-600px-v1300px.png
gamdias aeolus m3 1201 rgb case fan,319,True,Cooler,https://www.evetech.co.za/gamdias-aeolus-m3-1201-rgb-case-fan/best-deal/16963.aspx,https://www.evetech.co.za/repository/components/gamdias-aeolus-m3-1201-rgb-case-fan-600px-v1300px.png
cougar vortex argb vk 120 pwm hdb cooling fan,349,True,Cooler,https://www.evetech.co.za/cougar-vortex-argb-vk-120-pwm-hdb-cooling-fan/best-deal/11483.aspx,https://www.evetech.co.za/repository/components/cougar-vortex-argb-vk-120-pwm-hdb-cooling-fan-600px-v1300px.png
deepcool sc790 a rgb fan hub,379,True,Cooler,https://www.evetech.co.za/deepcool-sc790-a-rgb-fan-hub/best-deal/15739.aspx,https://www.evetech.co.za/repository/components/deepcool-sc790-a-rgb-fan-hub-600px-v1300px.png
cougar core box v3 argb pwm fan controller,399,True,Cooler,https://www.evetech.co.za/cougar-core-box-v3-argb-pwm-fan-controller/best-deal/11487.aspx,https://www.evetech.co.za/repository/components/cougar-core-box-v3-argb-pwm-fan-controller-600px-v1300px.png
corsair icue sp120 rgb elite 120mm pwm single fan   black,399,True,Cooler,https://www.evetech.co.za/corsair-icue-sp120-rgb-elite-120mm-pwm-single-fan-black/best-deal/11705.aspx,https://www.evetech.co.za/repository/components/corsair-icue-sp120-rgb-elite-120mm-pwm-single-fan-black-600px-v1300px.png
corsair icue sp120 rgb elite 120mm pwm single fan   white,399,True,Cooler,https://www.evetech.co.za/corsair-icue-sp120-rgb-elite-120mm-pwm-single-fan-white/best-deal/12238.aspx,https://www.evetech.co.za/repository/components/corsair-icue-sp120-rgb-elite-120mm-pwm-single-fan-white300px.png
corsair sp120 elite 120mm pwm single fan   black,399,True,Cooler,https://www.evetech.co.za/corsair-sp120-elite-120mm-pwm-single-fan-black/best-deal/17050.aspx,https://www.evetech.co.za/repository/components/corsair-sp120-elite-120mm-pwm-single-fan-black-600px-v1300px.png
corsair icue ar120 rgb pwm fan black,399,True,Cooler,https://www.evetech.co.za/corsair-icue-ar120-rgb-pwm-fan-black/best-deal/18614.aspx,https://www.evetech.co.za/repository/components/corsair-icue-ar120-rgb-pwm-fan-black-600px-v1300px.png
cooler master masterfan mf120 prismatic case fan,399,True,Cooler,https://www.evetech.co.za/cooler-master-masterfan-mf120-prismatic-case-fan/best-deal/19564.aspx,https://www.evetech.co.za/repository/components/cooler-master-masterfan-mf120-prismatic-case-fa-600px-v1300px.png
cooler master mobius 120 ring blade fan,399,True,Cooler,https://www.evetech.co.za/cooler-master-mobius-120-ring-blade-fan/best-deal/19553.aspx,https://www.evetech.co.za/repository/components/cooler-master-mobius-120-ring-blade-fan-600px-v1300px.png
