Title,Price,In Stock,Category,URL,Image URL
amd ryzen 5 4500 6 core 3 6ghz cpu processor,1799,True,CPU,https://www.takealot.com/amd-ryzen-5-4500-6-core-3-6ghz-cpu-processor/PLID91045535,https://media.takealot.com/promotions/94155-ribbon-large.png
amd ryzen 5 5500 6 core 3 6ghz cpu processor,2199,True,CPU,https://www.takealot.com/amd-ryzen-5-5500-6-core-3-6ghz-cpu-processor/PLID91045536,https://media.takealot.com/covers_images/274a6015d4944ef780abc2e94940020c/s-fb.file
amd ryzen 5 5500 16gb ddr4 upgrade kit,4999,True,CPU,https://www.takealot.com/amd-ryzen-5-5500-16gb-ddr4-upgrade-kit/PLID95286349,https://media.takealot.com/covers_images/d6eb6c9635ea45898785096c1625fcc2/s-fb.file
intel 13th generation core i9 13900k processor,9649,True,CPU,https://www.takealot.com/intel-13th-generation-core-i9-13900k-processor/PLID92647745,https://media.takealot.com/covers_images/feb0be550a8b4a0389e2367faab22672/s-fb.file
amd ryzen 5 4600g 6 core 3 7 ghz cpu processor,2299,True,CPU,https://www.takealot.com/amd-ryzen-5-4600g-6-core-3-7-ghz-cpu-processor/PLID91066356,https://media.takealot.com/covers_images/2cee598f57d9496eaa3422b81eacae76/s-fb.file
raspberry pi 4 model b   2gb  single board computer,1299,True,CPU,https://www.takealot.com/raspberry-pi-4-model-b-2gb-single-board-computer/PLID55393683,https://media.takealot.com/covers_tsins/58484438/58484438-1-fb.jpeg
computer hardware ci3   8100 processor,655,True,CPU,https://www.takealot.com/computer-hardware-ci3-8100-processor/PLID94801974,
amd ryzen 5 5600x 6 core 3 7ghz am4 cpu computer processor,3599,True,CPU,https://www.takealot.com/amd-ryzen-5-5600x-6-core-3-7ghz-am4-cpu-computer-processor/PLID71032448,
raspberry pi 4 model b 8gb   basic bundle,3500,True,CPU,https://www.takealot.com/raspberry-pi-4-model-b-8gb-basic-bundle/PLID94756820,
intel core i3 7100 i3 7100 3 9 ghz dual core quad thread cpu 1161   tray,699,True,CPU,https://www.takealot.com/intel-core-i3-7100-i3-7100-3-9-ghz-dual-core-quad-thread-cpu-1161-tray/PLID91397110,
raspberry pi rpi5 8gb single raspberry pi5 8gb  bcm2712  8gb ram,2874,True,CPU,https://www.takealot.com/raspberry-pi-rpi5-8gb-single-raspberry-pi5-8gb-bcm2712-8gb-ram/PLID94711946,
intel i5 12400f,3338,True,CPU,https://www.takealot.com/intel-i5-12400f/PLID92479780,
amd ryzen 7 5700x 8 core 3 6ghz cpu processor,4399,True,CPU,https://www.takealot.com/amd-ryzen-7-5700x-8-core-3-6ghz-cpu-processor/PLID91045538,
