Title,Price,In Stock,Category,URL,Image URL
msi geforce gt 710 2gb ddr3 low profile graphics card  2gb,1109,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-GT-710-2GB-DDR3-Low-Profile-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/msi/700-series/gt-710/gt-710-2gb-ddr3-lp/msi-geforce-gt-710-2gb-ddr3-lp-1-228x228-0.jpg
gigabyte geforce gt 710 2gb gddr5 low profile graphics card  2gb,1182,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-710-2GB-GDDR5-Low-Profile-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/gtx700/gt-710/gt-710-ddr5-lp/gigabyte-geforce-gt-710-ddr5-lp-0-228x228-0.jpg
asus geforce gt 710 2gb ddr3 evo low profile graphics card  2gb,1248,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-GT-710-2GB-DDR3-EVO-Low-Profile-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/asus/gtx700/gt-710-2gb-ddr3-lp/asus-geforce-gt-710-2gb-ddr3-lp-1-228x228-0.jpg
gigabyte geforce gt 730 2g low profile graphics card  2gb,1810,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-730-2G-Low-Profile-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/gigabyte-geforce-gt-730-2gb-0-228x228-0.jpg
gigabyte geforce gt 1030 low profile d4 2g graphics card  2gb,1846,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-Low-Profile-D4-2G-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/gtx1000/gt-1030-lp-4g/gigabyte-geforce-gt-1030-lp-4g-0-228x228-0.jpg
gigabyte geforce gt 1030 low profile 2g graphics card  2gb,1858,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-Low-Profile-2G-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/gigabyte-geforce-gt-1030-low-profile-2gb-0-228x228-0.jpg
gigabyte geforce gt 1030 oc 2g graphics card  2gb,1858,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-OC-2G-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/gigabyte-geforce-gt-1030-oc-0-228x228-0.jpg
asus geforce gt 730 graphics card  2gb,2669,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-GT-730-Graphics-Card-2GB,https://progenix.co.za/image/cache/catalog/graphicscards/asus/gtx700/gt-730/asus-geforce-gt-730-1-228x228-0.jpg
gigabyte geforce gtx 1650 d6 oc 4g graphics card  4gb,3923,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GTX-1650-D6-OC-4G-Graphics-Card-4GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/gigabyte-geforce-gtx-1650-oc-4gb-1-228x228-0.jpg
msi radeon rx 6400 aero itx 4g graphics card  4gb,3962,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-Radeon-RX-6400-AERO-ITX-4G-Graphics-Card-4GB,https://progenix.co.za/image/cache/catalog/graphicscards/msi/rx6000/radeon-rx-6400-aero-itx/msi-radeon-rx-6400-aero-itx-0-228x228-0.jpg
gigabyte radeon rx 6400 d6 low profile 4g graphics card  4gb,4044,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6400-D6-LOW-PROFILE-4G-Graphics-Card-4GB,https://progenix.co.za/image/cache/catalog/graphicscards/gigabyyte/rx6000/rx-6400-d6-lp/gigabyte-radeon-rx-6400-d6-low-profile-0-228x228-0.jpg
