Title,Price,In Stock,Category,URL
amd ryzen 5 5500 6-core 3.6ghz cpu processor,2239,True,CPU,https://www.takealot.com/amd-ryzen-5-5500-6-core-3-6ghz-cpu-processor/PLID91045536
amd ryzen 5 4500 6-core 3.6ghz cpu processor,1799,True,CPU,https://www.takealot.com/amd-ryzen-5-4500-6-core-3-6ghz-cpu-processor/PLID91045535
amd ryzen 5 4600g 6-core 3.7 ghz cpu processor,2299,True,CPU,https://www.takealot.com/amd-ryzen-5-4600g-6-core-3-7-ghz-cpu-processor/PLID91066356
amd ryzen 7 5700x 8-core 3.6ghz cpu processor,4399,True,CPU,https://www.takealot.com/amd-ryzen-7-5700x-8-core-3-6ghz-cpu-processor/PLID91045538
"raspberry pi 4 model b - 8gb, single board computer",2499,True,CPU,https://www.takealot.com/raspberry-pi-4-model-b-8gb-single-board-computer/PLID55393682
"raspberry pi 4 model b - 2gb, single board computer",1499,True,CPU,https://www.takealot.com/raspberry-pi-4-model-b-2gb-single-board-computer/PLID55393683
intel core i5-9500 srf4b 3ghz lga1151 hexa core desktop cpu - tray,1689,True,CPU,https://www.takealot.com/intel-core-i5-9500-srf4b-3ghz-lga1151-hexa-core-desktop-cpu-tray/PLID91794618
amd ryzen 5 5600g 6-core 3.9 ghz am4 cpu,3249,True,CPU,https://www.takealot.com/amd-ryzen-5-5600g-6-core-3-9-ghz-am4-cpu/PLID73133046
amd ryzen 5 5600 x desktop processor,3599,True,CPU,https://www.takealot.com/amd-ryzen-5-5600-x-desktop-processor/PLID71032448
amd ryzen 5 5600 6-core 3.5ghz cpu processor,3399,True,CPU,https://www.takealot.com/amd-ryzen-5-5600-6-core-3-5ghz-cpu-processor/PLID91045537
intel core i3-7100 i3 7100 3.9 ghz dual-core quad-thread cpu 1161 - tray,755,True,CPU,https://www.takealot.com/intel-core-i3-7100-i3-7100-3-9-ghz-dual-core-quad-thread-cpu-1161-tray/PLID91397110
amd ryzen 5 7600x 6-core 4.7ghz am5 cpu,5399,True,CPU,https://www.takealot.com/amd-ryzen-5-7600x-6-core-4-7ghz-am5-cpu/PLID91544133
intel 13th generation core i9-13900k processor,9799,True,CPU,https://www.takealot.com/intel-13th-generation-core-i9-13900k-processor/PLID92647745
amd ryzen 7 5800x 8-core 3.8 ghz am4 cpu processor,4899,True,CPU,https://www.takealot.com/amd-ryzen-7-5800x-8-core-3-8-ghz-am4-cpu-processor/PLID71032447
