Title,Price,In Stock,Category,URL
Deepcool RF120B Blue LED Case Fan,139,True,Case Fans,https://www.evetech.co.za/deepcool-rf120b-blue-led-case-fan/best-deal/14198.aspx
Deepcool RF120R Red LED Case Fan,179,True,Case Fans,https://www.evetech.co.za/deepcool-rf120r-red-led-case-fan/best-deal/14199.aspx
Deepcool RF120W White LED Case Fan,199,True,Case Fans,https://www.evetech.co.za/deepcool-rf120w-white-led-case-fan/best-deal/14200.aspx
Deepcool RGB 200 PRO RGB LED Strip,249,True,Case Fans,https://www.evetech.co.za/deepcool-rgb-200-pro-rgb-led-strip/best-deal/14204.aspx
Deepcool SC700 A RGB Fan Hub,279,True,Case Fans,https://www.evetech.co.za/deepcool-sc700-a-rgb-fan-hub/best-deal/15738.aspx
Cooler Master MasterFan MF120 Halo Case Fan White,299,True,Case Fans,https://www.evetech.co.za/cooler-master-masterfan-mf120-halo-case-fan-white/best-deal/19561.aspx
Gamdias Aeolus M3-1201 RGB Case Fan,319,True,Case Fans,https://www.evetech.co.za/gamdias-aeolus-m3-1201-rgb-case-fan/best-deal/16963.aspx
Cougar Vortex ARGB VK 120 PWM HDB Cooling Fan,349,True,Case Fans,https://www.evetech.co.za/cougar-vortex-argb-vk-120-pwm-hdb-cooling-fan/best-deal/11483.aspx
Deepcool SC790 A RGB Fan Hub,379,True,Case Fans,https://www.evetech.co.za/deepcool-sc790-a-rgb-fan-hub/best-deal/15739.aspx
Cougar Core Box V3 ARGB PWM Fan Controller,399,True,Case Fans,https://www.evetech.co.za/cougar-core-box-v3-argb-pwm-fan-controller/best-deal/11487.aspx
Corsair iCUE SP120 RGB Elite 120mm PWM Single Fan - Black,399,True,Case Fans,https://www.evetech.co.za/corsair-icue-sp120-rgb-elite-120mm-pwm-single-fan-black/best-deal/11705.aspx
Corsair iCUE SP120 RGB Elite 120mm PWM Single Fan - White,399,True,Case Fans,https://www.evetech.co.za/corsair-icue-sp120-rgb-elite-120mm-pwm-single-fan-white/best-deal/12238.aspx
Corsair SP120 Elite 120mm PWM Single Fan - Black,399,True,Case Fans,https://www.evetech.co.za/corsair-sp120-elite-120mm-pwm-single-fan-black/best-deal/17050.aspx
Cougar MHP 120 Radiator Fan - 1 Pack,399,True,Case Fans,https://www.evetech.co.za/cougar-mhp-120-radiator-fan-1-pack/best-deal/15479.aspx
CORSAIR iCUE AR120 RGB PWM Fan Black,399,True,Case Fans,https://www.evetech.co.za/corsair-icue-ar120-rgb-pwm-fan-black/best-deal/18614.aspx
Cooler Master MasterFan MF120 Prismatic Case Fan,399,True,Case Fans,https://www.evetech.co.za/cooler-master-masterfan-mf120-prismatic-case-fan/best-deal/19564.aspx
Cooler Master Mobius 120 Ring Blade Fan,399.999,True,Case Fans,https://www.evetech.co.za/cooler-master-mobius-120-ring-blade-fan/best-deal/19553.aspx
Corsair ML120 LED ELITE RED Premium Fan,429,True,Case Fans,https://www.evetech.co.za/corsair-ml120-led-elite-red-premium-fan/best-deal/14440.aspx
Corsair ML120 LED ELITE Premium Fan - White Frame,449,True,Case Fans,https://www.evetech.co.za/corsair-ml120-led-elite-premium-fan-white-frame/best-deal/15207.aspx
Cooler Master Mobius 120P ARGB Case Fan,449,True,Case Fans,https://www.evetech.co.za/cooler-master-mobius-120p-argb-case-fan/best-deal/19552.aspx
Corsair ML120 LED ELITE Blue Premium Fan - White Frame,469,True,Case Fans,https://www.evetech.co.za/corsair-ml120-led-elite-blue-premium-fan-white-frame/best-deal/15208.aspx
Corsair ML120 LED ELITE Red Premium Fan - White Frame,469,True,Case Fans,https://www.evetech.co.za/corsair-ml120-led-elite-red-premium-fan-white-frame/best-deal/15206.aspx
Corsair ML140 LED ELITE Blue Premium Fan - White Frame,499,True,Case Fans,https://www.evetech.co.za/corsair-ml140-led-elite-blue-premium-fan-white-frame/best-deal/15210.aspx
Corsair ML140 LED ELITE Blue Premium Fan,499,True,Case Fans,https://www.evetech.co.za/corsair-ml140-led-elite-blue-premium-fan/best-deal/14442.aspx
Corsair ML140 LED ELITE Red Premium Fan,499,True,Case Fans,https://www.evetech.co.za/corsair-ml140-led-elite-red-premium-fan/best-deal/14444.aspx
Cooler Master Mobius 120 OC Ring Blade Fan,499,True,Case Fans,https://www.evetech.co.za/cooler-master-mobius-120-oc-ring-blade-fan/best-deal/19554.aspx
Corsair AF140 ELITE High-Performance Fan - White,499,True,Case Fans,https://www.evetech.co.za/corsair-af140-elite-high-performance-fan-white/best-deal/15214.aspx
Corsair AF120 ELITE High-Performance Fan - White,519,True,Case Fans,https://www.evetech.co.za/corsair-af120-elite-high-performance-fan-white/best-deal/15213.aspx
Corsair ML120 LED ELITE White Premium Fan,547,True,Case Fans,https://www.evetech.co.za/corsair-ml120-led-elite-white-premium-fan/best-deal/15201.aspx
Corsair ML140 LED ELITE Red Premium Fan - White Frame,549,True,Case Fans,https://www.evetech.co.za/corsair-ml140-led-elite-red-premium-fan-white-frame/best-deal/15202.aspx
Corsair AF120 Slim PWM Fan White,549,True,Case Fans,https://www.evetech.co.za/corsair-af120-slim-pwm-fan-white/best-deal/16372.aspx
Corsair AF120 ELITE High-Performance Fan - Black,569,True,Case Fans,https://www.evetech.co.za/corsair-af120-elite-high-performance-fan-black/best-deal/15211.aspx
Corsair AF140 ELITE High-Performance Fan - Black,599,True,Case Fans,https://www.evetech.co.za/corsair-af140-elite-high-performance-fan-black/best-deal/15212.aspx
Corsair AF120 Slim PWM Fan Black,599,True,Case Fans,https://www.evetech.co.za/corsair-af120-slim-pwm-fan-black/best-deal/16373.aspx
Corsair ML140 LED ELITE White Premium Fan - White Frame,599,True,Case Fans,https://www.evetech.co.za/corsair-ml140-led-elite-white-premium-fan-white-frame/best-deal/15209.aspx
Gamdias Aeolus M2-1205R RGB Case Fan,599,True,Case Fans,https://www.evetech.co.za/gamdias-aeolus-m2-1205r-rgb-case-fan/best-deal/7519.aspx
Corsair iCUE AF120 RGB Slim Fan Black,629,True,Case Fans,https://www.evetech.co.za/corsair-icue-af120-rgb-slim-fan-black/best-deal/20457.aspx
Gamdias AEOLUS M3 1203R Case Fan,649,True,Case Fans,https://www.evetech.co.za/gamdias-aeolus-m3-1203r-case-fan/best-deal/19751.aspx
Corsair AF120 RGB Slim PWM Fan White,649,True,Case Fans,https://www.evetech.co.za/corsair-af120-rgb-slim-pwm-fan-white/best-deal/18612.aspx
Fractal Design Aspect 12 RGB Case Fan - 3Pack,699,True,Case Fans,https://www.evetech.co.za/fractal-design-aspect-12-rgb-case-fan-3pack/best-deal/17903.aspx
Corsair iCUE LINK RX120 120mm PWM Single Fan Expansion,699,True,Case Fans,https://www.evetech.co.za/corsair-icue-link-rx120-120mm-pwm-single-fan-expansion/best-deal/20666.aspx
Corsair iCUE LINK RX140 140mm PWM Single Fan Expansion,749,True,Case Fans,https://www.evetech.co.za/corsair-icue-link-rx140-140mm-pwm-single-fan-expansion/best-deal/20668.aspx
Corsair iCUE AF140 RGB PWM Fan White,749,True,Case Fans,https://www.evetech.co.za/corsair-icue-af140-rgb-pwm-fan-white/best-deal/17846.aspx
Corsair iCUE AF120 RGB PWM Fan Black,749,True,Case Fans,https://www.evetech.co.za/corsair-icue-af120-rgb-pwm-fan-black/best-deal/17837.aspx
Cougar Vortex ARGB VK 120 PWM HDB Cooling Kit,799,True,Case Fans,https://www.evetech.co.za/cougar-vortex-argb-vk-120-pwm-hdb-cooling-kit/best-deal/11484.aspx
Gamdias AEOLUS M3 1204R Case Fan,799,True,Case Fans,https://www.evetech.co.za/gamdias-aeolus-m3-1204r-case-fan/best-deal/16559.aspx
Corsair iCUE SP140 RGB Elite 140mm PWM Dual Fan Black,849,True,Case Fans,https://www.evetech.co.za/corsair-icue-sp140-rgb-elite-140mm-pwm-dual-fan-black/best-deal/11711.aspx
CORSAIR iCUE AR120 RGB PWM Triple Fan Kit Black,849,True,Case Fans,https://www.evetech.co.za/corsair-icue-ar120-rgb-pwm-triple-fan-kit-black/best-deal/18615.aspx
Fractal Design Aspect 14 RGB Case Fan 3Pack,899,True,Case Fans,https://www.evetech.co.za/fractal-design-aspect-14-rgb-case-fan-3pack/best-deal/17904.aspx
Corsair iCUE LT100 Smart Lighting Tower Expansion Kit,899,True,Case Fans,https://www.evetech.co.za/corsair-icue-lt100-smart-lighting-tower-expansion-kit/best-deal/8691.aspx
Antec Prizm 120 ARGB 3 in1 Fan Pack,899,True,Case Fans,https://www.evetech.co.za/antec-prizm-120-argb-3-in1-fan-pack/best-deal/6631.aspx
Antec Prizm 120 ARGB 5 in1 Fan Pack,999,True,Case Fans,https://www.evetech.co.za/antec-prizm-120-argb-5-in1-fan-pack/best-deal/6632.aspx
Corsair Lighting Node PRO,999,True,Case Fans,https://www.evetech.co.za/corsair-lighting-node-pro/best-deal/8345.aspx
Antec Fusion 120 RGB Black x3 Fan Pack,999,True,Case Fans,https://www.evetech.co.za/antec-fusion-120-rgb-black-x3-fan-pack/best-deal/17367.aspx
Cougar MHP 120 Radiator Fan - 3 Pack,999,True,Case Fans,https://www.evetech.co.za/cougar-mhp-120-radiator-fan-3-pack/best-deal/15480.aspx
Cougar MHP 120 ARGB Radiator Fan - 3 Pack,999,True,Case Fans,https://www.evetech.co.za/cougar-mhp-120-argb-radiator-fan-3-pack/best-deal/17153.aspx
Corsair iCUE LINK QX120 RGB 120mm Expansion Kit white,999,True,Case Fans,https://www.evetech.co.za/corsair-icue-link-qx120-rgb-120mm-expansion-kit-white/best-deal/18621.aspx
Corsair iCUE LINK QX140 RGB 140mm Fan Expansion Kit white,999,True,Case Fans,https://www.evetech.co.za/corsair-icue-link-qx140-rgb-140mm-fan-expansion-kit-white/best-deal/18627.aspx
Cooler Master Masterfan MF120 Duo-Ring ARGB Halo Fan,1049,True,Case Fans,https://www.evetech.co.za/cooler-master-masterfan-mf120-duo-ring-argb-halo-fan/best-deal/19565.aspx
Cooler Master MasterFan MF120 Prismatic 3in1 Fan Pack,1099,True,Case Fans,https://www.evetech.co.za/cooler-master-masterfan-mf120-prismatic-3in1-fan-pack/best-deal/19573.aspx
Corsair iCUE SP120 RGB Elite 120mm PWM Triple Pack Fan White,1199,True,Case Fans,https://www.evetech.co.za/corsair-icue-sp120-rgb-elite-120mm-pwm-triple-pack-fan-white/best-deal/12239.aspx
Corsair iCUE SP120 RGB Elite 120mm PWM Triple Pack Fan,1199,True,Case Fans,https://www.evetech.co.za/corsair-icue-sp120-rgb-elite-120mm-pwm-triple-pack-fan/best-deal/11709.aspx
Corsair iCUE Commander Core XT RGB Fan Controller,1249,True,Case Fans,https://www.evetech.co.za/corsair-icue-commander-core-xt-rgb-fan-controller/best-deal/14131.aspx
Corsair iCUE AF120 RGB PWM Fan Twin Pack White,1379,True,Case Fans,https://www.evetech.co.za/corsair-icue-af120-rgb-pwm-fan-twin-pack-white/best-deal/18613.aspx
Antec Fusion 120 RGB White x5 Fan Pack,1399,True,Case Fans,https://www.evetech.co.za/antec-fusion-120-rgb-white-x5-fan-pack/best-deal/17366.aspx
Corsair iCUE LS100 Smart Lighting Strip Expansion Kit 1.4M,1399,True,Case Fans,https://www.evetech.co.za/corsair-icue-ls100-smart-lighting-strip-expansion-kit-1-4m/best-deal/13375.aspx
Corsair QL140 RGB 140mm Dual Fan Kit - White,1399,True,Case Fans,https://www.evetech.co.za/corsair-ql140-rgb-140mm-dual-fan-kit-white/best-deal/10943.aspx
