Title,Price,In Stock,Category,URL
AMD Ryzen 5 5500 6-Core 3.6GHz CPU Processor,2239,In stock,CPU,https://www.takealot.com/amd-ryzen-5-5500-6-core-3-6ghz-cpu-processor/PLID91045536
AMD Ryzen 5 4500 6-Core 3.6GHz CPU Processor,1799,In stock,CPU,https://www.takealot.com/amd-ryzen-5-4500-6-core-3-6ghz-cpu-processor/PLID91045535
AMD Ryzen 5 4600G 6-Core 3.7 GHz CPU Processor,2299,In stock,CPU,https://www.takealot.com/amd-ryzen-5-4600g-6-core-3-7-ghz-cpu-processor/PLID91066356
AMD Ryzen 7 5700X 8-Core 3.6GHz CPU Processor,4399,In stock,CPU,https://www.takealot.com/amd-ryzen-7-5700x-8-core-3-6ghz-cpu-processor/PLID91045538
"Raspberry Pi 4 Model B - 8GB, Single Board Computer",2499,In stock,CPU,https://www.takealot.com/raspberry-pi-4-model-b-8gb-single-board-computer/PLID55393682
"Raspberry Pi 4 Model B - 2GB, Single Board Computer",1499,In stock,CPU,https://www.takealot.com/raspberry-pi-4-model-b-2gb-single-board-computer/PLID55393683
Intel Core i5-9500 SRF4B 3Ghz LGA1151 Hexa Core Desktop CPU - Tray,1689,In stock,CPU,https://www.takealot.com/intel-core-i5-9500-srf4b-3ghz-lga1151-hexa-core-desktop-cpu-tray/PLID91794618
AMD Ryzen 5 5600G 6-Core 3.9 GHz AM4 CPU,3249,In stock,CPU,https://www.takealot.com/amd-ryzen-5-5600g-6-core-3-9-ghz-am4-cpu/PLID73133046
AMD Ryzen 5 5600 X Desktop Processor,3599,In stock,CPU,https://www.takealot.com/amd-ryzen-5-5600-x-desktop-processor/PLID71032448
AMD Ryzen 5 5600 6-Core 3.5GHz CPU Processor,3399,In stock,CPU,https://www.takealot.com/amd-ryzen-5-5600-6-core-3-5ghz-cpu-processor/PLID91045537
Intel Core i3-7100 i3 7100 3.9 GHz Dual-Core Quad-Thread CPU 1161 - Tray,755,In stock,CPU,https://www.takealot.com/intel-core-i3-7100-i3-7100-3-9-ghz-dual-core-quad-thread-cpu-1161-tray/PLID91397110
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 CPU,5399,In stock,CPU,https://www.takealot.com/amd-ryzen-5-7600x-6-core-4-7ghz-am5-cpu/PLID91544133
Intel 13th Generation Core i9-13900K Processor,9799,In stock,CPU,https://www.takealot.com/intel-13th-generation-core-i9-13900k-processor/PLID92647745
AMD Ryzen 7 5800X 8-Core 3.8 GHz AM4 CPU Processor,4899,In stock,CPU,https://www.takealot.com/amd-ryzen-7-5800x-8-core-3-8-ghz-am4-cpu-processor/PLID71032447
Intel Core i5-8500 6-Core 3.00GHz L3 Cache Socket LGA1151 Processor - Tray,1579,In stock,CPU,https://www.takealot.com/intel-core-i5-8500-6-core-3-00ghz-l3-cache-socket-lga1151-processor-tray/PLID91397105
AMD Ryzen 3 4100 4-Core 3.8GHz CPU Processor,1559,In stock,CPU,https://www.takealot.com/amd-ryzen-3-4100-4-core-3-8ghz-cpu-processor/PLID91045534
COMPUTER HARDWARE Ci3 - 8100 processor,655,In stock,CPU,https://www.takealot.com/computer-hardware-ci3-8100-processor/PLID94801974
Raspberry Pi 4 Model B 8GB - Basic Bundle,3500,Ships in 5 - 7 work days,CPU,https://www.takealot.com/raspberry-pi-4-model-b-8gb-basic-bundle/PLID94756820
Intel i5-12400F,3450,Ships in 5 - 7 work days,CPU,https://www.takealot.com/intel-i5-12400f/PLID92479780
AMD Ryzen 7 5800X3D 8-Core 3.4GHz CPU Processor,7299,In stock,CPU,https://www.takealot.com/amd-ryzen-7-5800x3d-8-core-3-4ghz-cpu-processor/PLID91066309
