Title,Price,In Stock,Category,URL
"MSI GeForce GT 710 2GB DDR3 Low Profile Graphics Card, 2GB",1082,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-GT-710-2GB-DDR3-Low-Profile-Graphics-Card-2GB
"Gigabyte GeForce GT 730 2G Low Profile Graphics Card, 2GB",1810,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-730-2G-Low-Profile-Graphics-Card-2GB
"Gigabyte GeForce GT 1030 Low Profile D4 2G Graphics Card, 2GB",1846,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-Low-Profile-D4-2G-Graphics-Card-2GB
"Gigabyte GeForce GT 1030 Low Profile 2G Graphics Card, 2GB",1858,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-Low-Profile-2G-Graphics-Card-2GB
"Gigabyte GeForce GT 1030 OC 2G Graphics Card, 2GB",1958,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GT-1030-OC-2G-Graphics-Card-2GB
"Sparkle Intel Arc 3 A310 ELF Graphics Card, 4GB",2649,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sparkle-Intel-Arc-3-A310-ELF-Graphics-Card-4GB
"ASRock Intel Arc 3 A380 Challenger ITX 6GB OC Graphics Card, 6GB",3149,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASRock-Intel-Arc-3-A380-Challenger-ITX-6GB-OC-Graphics-Card-6GB
"ASUS DUAL GeForce GTX 1650 V2 OC Edition Graphics Card, 4GB",3822,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-DUAL-GeForce-GTX-1650-V2-OC-Edition-Graphics-Card-4GB
"Gigabyte GeForce GTX 1650 D6 OC 4G Graphics Card, 4GB",3923,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GTX-1650-D6-OC-4G-Graphics-Card-4GB
"Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G Graphics Card, 4GB",3935,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GTX-1650-D6-WINDFORCE-OC-4G-Graphics-Card-4GB
"MSI Radeon RX 6400 AERO ITX 4G Graphics Card, 4GB",3962,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-Radeon-RX-6400-AERO-ITX-4G-Graphics-Card-4GB
"Gigabyte Radeon RX 6400 D6 LOW PROFILE 4G Graphics Card, 4GB",4044,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6400-D6-LOW-PROFILE-4G-Graphics-Card-4GB
"MSI GeForce GTX 1650 D6 VENTUS XS OCV1 Graphics Card, 4GB",4265,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-GTX-1650-D6-VENTUS-XS-OCV1-Graphics-Card-4GB
"MSI GeForce GTX 1650 D6 VENTUS XS OC Graphics Card, 4GB",4387,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-GTX-1650-D6-VENTUS-XS-OC-Graphics-Card-4GB
"ASRock Intel Arc 5 A580 CHALLENGER 8GB OC Graphics Card, 8GB",4499,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASRock-Intel-Arc-5-A580-CHALLENGER-8GB-OC-Graphics-Card-8GB
"Gigabyte Radeon RX 6400 EAGLE 4G Graphics Card, 4GB",4587,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6400-EAGLE-4G-Graphics-Card-4GB
"Sapphire Radeon RX 550 Pulse 2G G5 Graphics Card, 2GB",4950,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-Radeon-RX-550-Pulse-2G-G5-Graphics-Card-2GB
"Gigabyte GeForce GTX 1660 Ti OC 6G Graphics Card, 6GB",5131,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-GTX-1660-Ti-OC-6G-Graphics-Card-6GB
"Gigabyte GeForce RTX 3050 EAGLE OC 6G Graphics Card, 6GB",5251,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3050-EAGLE-OC-6G-Graphics-Card-6GB
"MSI GeForce RTX 3050 VENTUS 2X 6G OC Graphics Card, 6GB",5303,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-3050-VENTUS-2X-6G-OC-Graphics-Card-6GB
