Title,Price,In Stock,Category,URL
amd ryzen 3 4100 renoir 4 core 3 80ghz am4 65w 100 100000510box desktop processor,1489.49,True,CPU,https://www.rebeltech.co.za/amd-ryzen-3-4100-renoir-4-core-3-80ghz-am4-65w-100-100000510box-desktop-processor.html
intel celeron g6900 alder lake 2 core 3 40ghz lga1700 46w bx80715g6900 desktop processor,1501.99,True,CPU,https://www.rebeltech.co.za/intel-celeron-g6900-alder-lake-2-core-3-40ghz-lga1700-46w-bx80715g6900-desktop-processor.html
amd ryzen 5 4500 renoir 6 core 3 60ghz am4 65w 100 100000644box desktop processor,1814.99,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-4500-renoir-6-core-3-60ghz-am4-65w-100-100000644box-desktop-processor.html
intel core i3 12100f alder lake 4 core 3 30ghz lga1700 58w bx8071512100f desktop processor,2070.49,True,CPU,https://www.rebeltech.co.za/intel-core-i3-12100f-alder-lake-4-core-3-30ghz-lga1700-58w-bx8071512100f-desktop-processor.html
intel pentium gold g7400 alder lake 2 core 3 70ghz lga1700 46w bx80715g7400 desktop processor,2172.49,True,CPU,https://www.rebeltech.co.za/intel-pentium-gold-g7400-alder-lake-2-core-3-70ghz-lga1700-46w-bx80715g7400-desktop-processor.html
amd ryzen 5 5500 cezanne 6 core 3 60ghz am4 65w 100 100000457box desktop processor,2223.49,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-5500-cezanne-6-core-3-60ghz-am4-65w-100-100000457box-desktop-processor.html
amd ryzen 5 4600g renoir 6 core 3 70ghz am4 65w 100 100000147box desktop processor,2332.49,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-4600g-renoir-6-core-3-70ghz-am4-65w-100-100000147box-desktop-processor.html
amd ryzen 5 5500gt vermeer 6 core 3 6ghz am4 65w 100 100001489box desktop processor,2753.99,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-5500gt-vermeer-6-core-3-6ghz-am4-65w-100-100001489box-desktop-processor.html
intel core i3 12100 alder lake 4 core 3 30ghz lga1700 60w bx8071512100 desktop processor,2805.99,True,CPU,https://www.rebeltech.co.za/intel-core-i3-12100-alder-lake-4-core-3-30ghz-lga1700-60w-bx8071512100-desktop-processor.html
intel core i3 13100f raptor lake 4 core 3 40ghz lga1700 58w bx8071513100f desktop processor,2867.99,True,CPU,https://www.rebeltech.co.za/intel-core-i3-13100f-raptor-lake-4-core-3-40ghz-lga1700-58w-bx8071513100f-desktop-processor.html
intel core i5 12400f alder lake 6 core 2 50ghz lga1700 65w bx8071512400f desktop processor,3109.99,True,CPU,https://www.rebeltech.co.za/intel-core-i5-12400f-alder-lake-6-core-2-50ghz-lga1700-65w-bx8071512400f-desktop-processor.html
amd ryzen 5 5600gt vermeer 6 core 3 6ghz am4 65w 100 100001488box desktop processor,3147.49,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-5600gt-vermeer-6-core-3-6ghz-am4-655w-100-100001488box-desktop-processor.html
amd ryzen 5 5600 vermeer 6 core 3 50ghz am4 65w 100 100000927box desktop processor,3170.99,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-5600-vermeer-6-core-3-50ghz-am4-65w-100-100000927box-desktop-processor.html
amd ryzen 5 5600g cezanne 6 core 3 90ghz am4 65w 100 100000252box desktop processor,3506.49,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-5600g-cezanne-6-core-3-90ghz-am4-65w-100-100000252box-desktop-processor.html
amd ryzen 5 5600x vermeer 6 core 3 70ghz am4 65w 100 100000065box desktop processor,3600.99,True,CPU,https://www.rebeltech.co.za/amd-ryzen-5-5600x-vermeer-6-core-3-70ghz-am4-65w-100-100000065box-desktop-processor.html
intel core i5 11400 rocket lake 6 core 2 60ghz lga1200 65w bx8070811400 desktop processor,3724.99,True,CPU,https://www.rebeltech.co.za/intel-core-i5-11400-rocket-lake-6-core-2-60ghz-lga1200-65w-bx8070811400-desktop-processor.html
intel core i5 12400 alder lake 6 core 2 50ghz lga1700 65w bx8071512400 desktop processor,3749.99,True,CPU,https://www.rebeltech.co.za/intel-core-i5-12400-alder-lake-6-core-2-50ghz-lga1700-65w-bx8071512400-desktop-processor.html
amd ryzen 7 5700x vermeer 8 core 3 40ghz am4 65w 100 100000926wof desktop processor,4479.99,True,CPU,https://www.rebeltech.co.za/amd-ryzen-7-5700x-vermeer-8-core-3-40ghz-am4-65w-100-100000926wof-desktop-processor.html
intel core i5 12600k alder lake 10 core 3 70ghz lga1700 125w bx8071512600k desktop processor,4499.0,True,CPU,https://www.rebeltech.co.za/intel-core-i5-12600k-alder-lake-10-core-3-70ghz-lga1700-125w-bx8071512600k-desktop-processor.html
intel core i5 12600kf alder lake 10 core 3 70ghz lga1700 125w bx8071512600kf desktop processor,4606.99,True,CPU,https://www.rebeltech.co.za/intel-core-i5-12600kf-alder-lake-10-core-3-70ghz-lga1700-125w-bx8071512600kf-desktop-processor.html
amd ryzen 7 5700g cezanne 8 core 3 80ghz am4 65w 100 100000263box desktop processor,4691.49,True,CPU,https://www.rebeltech.co.za/amd-ryzen-7-5700g-cezanne-8-core-3-80ghz-am4-65w-100-100000263box-desktop-processor.html
