Title                                                                                                                                                                         ,Price ,In Stock ,Category
XFX Radeon RX 6600 Speedster SWFT 210 Core RX-66XL8LFDQ 8GB GDDR6 128-bit PCI-E 4.0 Desktop Graphics Card                                                                     ,False ,4999.00  ,Graphics Cards
Palit GeForce RTX 3060 Dual NE63060019K9-190AD 12GB GDDR6 192-bit PCI-E 4.0 Desktop Graphics Card                                                                             ,False ,6299.00  ,Graphics Cards
XFX Radeon RX 6700 Speedster SWFT 309 Core RX-67XLKWFDV 10GB GDDR6 160-bit PCI-E 4.0 Desktop Graphics Card                                                                    ,False ,6699.00  ,Graphics Cards
Palit GeForce RTX 4060 Dual NE64060019P1-1070D 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                               ,False ,6699.00  ,Graphics Cards
XFX Radeon RX 7800 XT SPEEDSTER MERC319 BLACK RX-78TMERCB9 16GB GDDR6 256-Bit PCIe 4.0 Desktop Graphics Card                                                                  ,False ,12599.00 ,Graphics Cards
XFX Radeon RX 7900 XT Speedster MERC 310 RX-79TMERCU9 20GB GDDR6 320-bit PCI-E 4.0 Desktop Graphics Card                                                                      ,False ,16799.00 ,Graphics Cards
Palit GeForce RTX 4070 DUAL NED4070019K9-1047D ​12GB GDDR6X 192-bit PCIe 4.0 Desktop Graphics Card                                                                             ,False ,12699.00 ,Graphics Cards
Palit GeForce GT 710 Single NEAT7100HD46-2080F 2GB DDR3 64-bit PCI-E 2.0 Desktop Graphics Card                                                                                ,False ,779.00   ,Graphics Cards
XFX Radeon RX 6800 Speedster SWFT 319 Core RX-68XLAQFD9 16GB GDDR6 256-bit PCI-E 4.0 Desktop Graphics Card                                                                    ,False ,9399.00  ,Graphics Cards
Palit GeForce RTX 4060 Ti JetStream NE6406T019T1-1061J 16GB GDDR6 128-bit PCIe 4.0 Desktop Graphics Card                                                                      ,False ,9999.00  ,Graphics Cards
XFX Radeon RX 7800 XT SPEEDSTER QICK319 CORE RX-78TQICKF9 16GB GDDR6 256-Bit PCIe 4.0 Desktop Graphics Card                                                                   ,False ,12199.00 ,Graphics Cards
Palit GeForce GT 1030 NEC103000646-1082F 2GB DDR4 64-bit PCI-E 3.0 Desktop Graphics Card                                                                                      ,False ,999.00   ,Graphics Cards
Phanteks PH-CBRS4.0_FL22 Flat Line 220mm PCI-E Gen4 x16 Riser Cable                                                                                                           ,False ,779.00   ,Graphics Cards
ASUS GeForce GTX 1650 Dual V2 OC Edition DUAL-GTX1650-O4GD6-P-V2 4GB GDDR6 128-bit PCIe 3.0 Desktop Graphics Card                                                             ,False ,3599.00  ,Graphics Cards
XFX Radeon RX 7900 XTX Speedster Merc 310 Black RX-79XMERCB9 24GB GDDR6 384-bit PCI-E 4.0 Desktop Graphics Card                                                               ,False ,22499.00 ,Graphics Cards
Cooler Master MCA-U000R-KFVK03 MasterAccessory Universal PCIe 4.0 Vertical Graphics Card Holder V3 Kit                                                                        ,False ,1369.00  ,Graphics Cards
Palit GeForce RTX 4060 Ti Dual NE6406T019P1-1060D 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                            ,False ,8799.00  ,Graphics Cards
Palit GeForce RTX 4070 Ti JETSTREAM NED407T019K9-1043J ​12GB GDDR6X 192-bit PCIe 4.0 Desktop Graphics Card                                                                     ,False ,17799.00 ,Graphics Cards
Palit GeForce RTX 3050 Dual NE63050018P1-1070D 8GB GDDR6 128-bit PCI-E 4.0 Desktop Graphics Card                                                                              ,False ,4799.00  ,Graphics Cards
Palit GeForce RTX 4090 GameRock NED4090019SB-1020G 24GB GDDR6X 384-Bit PCIe 4.0 Desktop Graphics Card                                                                         ,False ,38499.00 ,Graphics Cards
XFX Radeon RX 7600 SPEEDSTER QICK308 BLACK RX-76PQICKBY 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                      ,False ,6649.00  ,Graphics Cards
XFX Radeon RX 7700 XT SPEEDSTER QICK319 BLACK RX-77TQICKB9 12GB GDDR6 192-Bit PCIe 4.0 Desktop Graphics Card                                                                  ,False ,10499.00 ,Graphics Cards
XFX Radeon RX 7600 SPEEDSTER SWFT210 CORE RX-76PSWFTFY 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                       ,False ,5999.00  ,Graphics Cards
Zotac GeForce RTX 4070 Twin Edge ZT-D40700E-10M ​12GB GDDR6X 192-bit PCIe 4.0 Desktop Graphics Card                                                                            ,False ,12899.00 ,Graphics Cards
Zotac GeForce RTX 4060 Twin Edge ZT-D40600E-10M 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                              ,False ,6999.00  ,Graphics Cards
Zotac GeForce GTX 1650 AMP Core ZT-T16520J-10L 4GB GDDR6 128-bit PCI-E 3.0 Desktop Graphics Card                                                                              ,False ,3349.00  ,Graphics Cards
Zotac GeForce RTX 4060 Ti Twin Edge ZT-D40610E-10M 8GB GDDR6 128-Bit PCIe 4.0 Desktop Graphics Card                                                                           ,False ,8999.00  ,Graphics Cards
Zotac GeForce RTX 4070 Ti Trinity ZT-D40710D-10P 12GB GDDR6X 192-Bit PCI-E 4.0 Desktop Graphics Card                                                                          ,False ,18599.00 ,Graphics Cards
Zotac GeForce RTX 3060 Gaming Twin Edge ZT-A30600E-10M 12GB GDDR6 192-bit PCI-E 4.0 Desktop Graphics Card (Lite Hash Rate)                                                    ,False ,6499.00  ,Graphics Cards
Palit GeForce GTX 1050Ti StormX NE5105T018G1-1070F 4GB GDDR5 128-bit PCI-E 3.0 Desktop Graphics Card                                                                          ,False ,2699.00  ,Graphics Cards
Phanteks PH-CBRS_FL22 Flat Line 22cm PCI-E 3.0 x16 Vertical GPU Riser Cable                                                                                                   ,False ,449.00   ,Graphics Cards
ASUS GeForce RTX 4070 DUAL OC DUAL-RTX4070-O12G ​12GB GDDR6X 192-bit PCIe 4.0 Desktop Graphics Card                                                                            ,True  ,15199.00 ,Graphics Cards
[RECERTIFIED] XFX Radeon RX 6950 XT Speedster Merc 319 Black RX-695XATBD9 16GB GDDR6 256-bit PCIe 4.0 Desktop Graphics Card - 18 Month Warranty                               ,False ,12699.00 ,Graphics Cards
