Title,Price,In Stock
AMD Ryzen 3 4100 Renoir 4-Core 3.80GHz AM4 65W 100-100000510BOX Desktop Processor,1530.49,False,CPUs / Processors
AMD Ryzen 3 4300G Renoir 4-Core 3.80GHz AM4 65W 100-100000144BOX Desktop Processor,2259.49,False,CPUs / Processors
AMD Ryzen 5 3600 Matisse 6-Core 3.60GHz AM4 65W 100-100000031AWOF Desktop Processor,1787.49,False,CPUs / Processors
AMD Ryzen 5 4500 Renoir 6-Core 3.60GHz AM4 65W 100-100000644BOX Desktop Processor,1753.99,False,CPUs / Processors
AMD Ryzen 5 4600G Renoir 6-Core 3.70GHz AM4 65W 100-100000147BOX Desktop Processor,2261.99,False,CPUs / Processors
AMD Ryzen 5 5500 Cezanne 6-Core 3.60GHz AM4 65W 100-100000457BOX Desktop Processor,2159.99,False,CPUs / Processors
AMD Ryzen 5 5600 Vermeer 6-Core 3.50GHz AM4 65W 100-100000927BOX Desktop Processor,3329.99,False,CPUs / Processors
AMD Ryzen 5 5600G Cezanne 6-Core 3.90GHz AM4 65W 100-100000252BOX Desktop Processor,3175.99,False,CPUs / Processors
AMD Ryzen 5 5600X Vermeer 6-Core 3.70GHz AM4 65W 100-100000065BOX Desktop Processor,3786.99,False,CPUs / Processors
AMD Ryzen 5 7600 Raphael 6-Core 3.80GHz AM5 65W 100-100001015BOX Desktop Processor,4777.99,False,CPUs / Processors
AMD Ryzen 5 7600X Raphael 6-Core 4.70GHz AM5 105W 100-100000593WOF Desktop Processor,5109.99,False,CPUs / Processors
AMD Ryzen 7 3700X Matisse 8-Core 3.60GHz AM4 65W 100-100000071BOX Desktop Processor,4499.00,False,CPUs / Processors
AMD Ryzen 7 5700G Cezanne 8-Core 3.80GHz AM4 65W 100-100000263BOX Desktop Processor,5366.99,False,CPUs / Processors
AMD Ryzen 7 5700X Vermeer 8-Core 3.40GHz AM4 65W 100-100000926WOF Desktop Processor,4209.49,False,CPUs / Processors
AMD Ryzen 7 5800X Vermeer 8-Core 3.80GHz AM4 105W 100-100000063WOF Desktop Processor,4802.99,False,CPUs / Processors
AMD Ryzen 7 5800X3D Vermeer 8-Core 3.80GHz AM4 105W 100-100000651WOF Desktop Processor,8105.49,False,CPUs / Processors
AMD Ryzen 7 7700 Raphael 8-Core 3.80GHz AM5 65W 100-100000592BOX Desktop Processor,7955.49,False,CPUs / Processors
AMD Ryzen 7 7700X Raphael 8-Core 4.50GHz AM5 105W 100-100000591WOF Desktop Processor,8258.49,False,CPUs / Processors
AMD Ryzen 7 7800X3D Raphael 8-Core 4.20GHz AM5 120W 100-100000910WOF Desktop Processor + Avatar: Frontiers of Pandora,8690.49,False,CPUs / Processors
AMD Ryzen 7 Pro 4750G Renoir 8-Core 3.60GHz AM4 65W 100-100000145MPK Desktop Processor,5525.99,False,CPUs / Processors
AMD Ryzen 9 5900X Vermeer 12-Core 3.70GHz AM4 105W 100-100000061WOF Desktop Processor,8412.49,False,CPUs / Processors
AMD Ryzen 9 5950X Vermeer 16-Core 3.40GHz AM4 105W 100-100000059WOF Desktop Processor,11899.99,False,CPUs / Processors
AMD Ryzen 9 7900 Raphael 12-Core 3.70GHz AM5 65W 100-100000590BOX Desktop Processor + Avatar: Frontiers of Pandora,10366.99,False,CPUs / Processors
AMD Ryzen 9 7900X Raphael 12-Core 4.70GHz AM5 170W 100-100000589WOF Desktop Processor + Avatar: Frontiers of Pandora,9301.49,False,CPUs / Processors
AMD Ryzen 9 7900X3D Raphael 12-Core 4.40GHz AM5 120W 100-100000909WOF Desktop Processor + Avatar: Frontiers of Pandora,11304.99,False,CPUs / Processors
AMD Ryzen 9 7950X Raphael 16-Core 4.50GHz AM5 170W 100-100000514WOF Desktop Processor + Avatar: Frontiers of Pandora,13325.49,False,CPUs / Processors
AMD Ryzen 9 7950X3D Raphael 16-Core 4.20GHz AM5 120W 100-100000908WOF Desktop Processor + Avatar: Frontiers of Pandora,14153.99,False,CPUs / Processors
Intel Celeron G6900 Alder Lake 2-Core 3.40GHz LGA1700 46W BX80715G6900 Desktop Processor,1501.99,False,CPUs / Processors
Intel Core i3-12100 Alder Lake 4-Core 3.30GHz LGA1700 60W BX8071512100 Desktop Processor,3277.99,False,CPUs / Processors
Intel Core i3-12100F Alder Lake 4-Core 3.30GHz LGA1700 58W BX8071512100F Desktop Processor,2269.49,False,CPUs / Processors
Intel Core i3-13100 Raptor Lake 4-Core 3.40GHz LGA1700 60W BX8071513100 Desktop Processor,3728.49,False,CPUs / Processors
Intel Core i3-13100F Raptor Lake 4-Core 3.40GHz LGA1700 58W BX8071513100F Desktop Processor,3078.99,False,CPUs / Processors
Intel Core i5-11400 Rocket Lake 6-Core 2.60GHz LGA1200 65W BX8070811400 Desktop Processor,4407.99,False,CPUs / Processors
Intel Core i5-11400F Rocket Lake 6-Core 2.60GHz LGA1200 65W BX8070811400F Desktop Processor,3724.99,False,CPUs / Processors
Intel Core i5-11500 Rocket Lake 6-Core 2.70GHz LGA1200 65W BX8070811500 Desktop Processor,5587.99,False,CPUs / Processors
Intel Core i5-11600 Rocket Lake 6-Core 2.80GHz LGA1200 65W BX8070811600 Desktop Processor,6084.99,False,CPUs / Processors
Intel Core i5-11600K Rocket Lake 6-Core 3.90GHz LGA1200 125W BX8070811600K Desktop Processor,7512.99,False,CPUs / Processors
Intel Core i5-11600KF Rocket Lake 6-Core 3.90GHz LGA1200 125W BX8070811600KF Desktop Processor,7326.99,False,CPUs / Processors
Intel Core i5-12400 Alder Lake 6-Core 2.50GHz LGA1700 65W BX8071512400 Desktop Processor,4469.99,False,CPUs / Processors
Intel Core i5-12400F Alder Lake 6-Core 2.50GHz LGA1700 65W BX8071512400F Desktop Processor,3646.99,False,CPUs / Processors
Intel Core i5-12500 Alder Lake 6-Core 3.00GHz LGA1700 65W BX8071512500 Desktop Processor,5612.99,False,CPUs / Processors
Intel Core i5-12600 Alder Lake 6-Core 3.30GHz LGA1700 65W BX8071512600 Desktop Processor,7463.49,False,CPUs / Processors
Intel Core i5-12600K Alder Lake 10-Core 3.70GHz LGA1700 125W BX8071512600K Desktop Processor,7475.99,False,CPUs / Processors
Intel Core i5-12600KF Alder Lake 10-Core 3.70GHz LGA1700 125W BX8071512600KF Desktop Processor,7177.99,False,CPUs / Processors
Intel Core i5-13400 Raptor Lake 10-Core 2.50GHz LGA1700 65W BX8071513400 Desktop Processor,5724.49,False,CPUs / Processors
Intel Core i5-13400F Raptor Lake 10-Core 2.50GHz LGA1700 65W BX8071513400F Desktop Processor,5177.99,False,CPUs / Processors
Intel Core i5-13500 Raptor Lake 14-Core 2.50GHz LGA1700 65W BX8071513500 Desktop Processor,6010.49,False,CPUs / Processors
Intel Core i5-13600 Raptor Lake 14-Core 2.00GHz LGA1700 65W BX8071513600 Desktop Processor,7202.49,False,CPUs / Processors
Intel Core i5-13600K Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071513600K Desktop Processor,7550.49,False,CPUs / Processors
Intel Core i5-13600KF Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071513600KF Desktop Processor,7189.99,False,CPUs / Processors
Intel Core i5-14600K Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071514600K Desktop Processor,7873.49,False,CPUs / Processors
Intel Core i5-14600KF Raptor Lake 14-Core 3.50GHz LGA1700 125W BX8071514600KF Desktop Processor,7239.99,False,CPUs / Processors
Intel Core i7-11700 Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811700 Desktop Processor,9313.99,False,CPUs / Processors
Intel Core i7-11700 Rocket Lake 8-Core 2.50GHz LGA1200 65W CM8070804491214 Desktop Processor,7823.49,False,CPUs / Processors
Intel Core i7-11700F Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811700F Desktop Processor,8382.49,False,CPUs / Processors
Intel Core i7-11700K Rocket Lake 8-Core 3.60GHz LGA1200 125W BX8070811700K Desktop Processor,9934.99,False,CPUs / Processors
Intel Core i7-11700KF Rocket Lake 8-Core 3.60GHz LGA1200 125W BX8070811700KF Desktop Processor,8692.99,False,CPUs / Processors
Intel Core i7-12700 Alder Lake 12-Core 2.10GHz LGA1700 65W BX8071512700 Desktop Processor,8382.49,False,CPUs / Processors
Intel Core i7-12700F Alder Lake 12-Core 2.10GHz LGA1700 65W BX8071512700F Desktop Processor,8009.99,False,CPUs / Processors
Intel Core i7-12700K Alder Lake 12-Core 3.60GHz LGA1700 125W BX8071512700K Desktop Processor,9934.99,False,CPUs / Processors
Intel Core i7-12700KF Alder Lake 12-Core 3.60GHz LGA1700 125W BX8071512700KF Desktop Processor,9313.99,False,CPUs / Processors
Intel Core i7-13700 Raptor Lake 16-Core 2.10GHz LGA1700 65W BX8071513700 Desktop Processor,9500.49,False,CPUs / Processors
Intel Core i7-13700F Raptor Lake 16-Core 2.10GHz LGA1700 65W BX8071513700F Desktop Processor,9313.99,False,CPUs / Processors
Intel Core i7-13700K Raptor Lake 16-Core 3.40GHz LGA1700 125W BX8071513700K Desktop Processor,9996.99,False,CPUs / Processors
Intel Core i7-13700KF Raptor Lake 16-Core 3.40GHz LGA1700 125W BX8071513700KF Desktop Processor,9390.99,False,CPUs / Processors
Intel Core i7-14700K Raptor Lake 20-Core 3.40GHz LGA1700 125W BX8071514700K Desktop Processor,10366.99,False,CPUs / Processors
Intel Core i7-14700KF Raptor Lake 20-Core 3.40GHz LGA1700 125W BX8071514700KF Desktop Processor,9712.49,False,CPUs / Processors
Intel Core i9-10940X Cascade Lake 14-Core 3.30GHz LGA2066 165W BX8069510940X Desktop Processor,19125.99,False,CPUs / Processors
Intel Core i9-10980XE Cascade Lake 18-Core 3.00GHz LGA2066 165W BX8069510980XE Desktop Processor,23845.49,False,CPUs / Processors
Intel Core i9-11900 Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811900 Desktop Processor,13101.99,False,CPUs / Processors
Intel Core i9-11900F Rocket Lake 8-Core 2.50GHz LGA1200 65W BX8070811900F Desktop Processor,12418.99,False,CPUs / Processors
Intel Core i9-11900K Rocket Lake 8-Core 3.50GHz LGA1200 125W BX8070811900K Desktop Processor,13226.49,False,CPUs / Processors
Intel Core i9-11900KF Rocket Lake 8-Core 3.50GHz LGA1200 125W BX8070811900KF Desktop Processor,12046.49,False,CPUs / Processors
Intel Core i9-12900 Alder Lake 16-Core 2.40GHz LGA1700 65W BX8071512900 Desktop Processor,12623.99,False,CPUs / Processors
